Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT1G27650,0,1,0,0,2,2
AT1G28290,0,2,0,0,3,2
AT1G29150,0,0,0,0,3,0
AT1G29260,0,0,0,0,1,0
AT1G29965,0,0,0,0,2,2
AT1G29990,0,0,0,0,1,0
AT1G31080,0,0,0,0,2,4
AT1G31760,0,1,0,0,0,0
AT1G31970,0,0,0,0,2,1
AT1G33040,0,0,0,1,0,0
AT1G35720,0,0,0,0,2,1
AT1G43190,0,0,0,0,2,0
AT1G47490,0,0,0,0,0,0
AT1G47970,0,1,0,4,0,0
AT1G48620,0,0,0,0,6,17
AT1G48860,0,0,0,0,1,0
AT1G49130,0,0,0,0,0,0
AT1G49600,0,0,0,0,3,1
AT1G50020,0,0,0,0,0,1
AT1G51060,0,0,0,0,0,2
AT3G15980,0,0,0,0,2,1
AT1G52380,0,0,0,0,1,0
AT1G52740,0,0,0,0,1,2
AT1G52980,0,0,0,0,7,3
AT2G42600,0,1,0,0,2,0
AT1G53800,0,0,0,0,1,0
AT1G54490,0,2,0,0,1,0
AT1G70320,0,0,0,0,2,1
AT1G59760,0,2,0,0,4,3
AT1G60620,0,0,0,0,2,2
AT1G60770,0,0,0,0,0,1
AT1G61730,0,0,0,0,6,10
AT1G63480,0,0,0,0,2,6
AT1G63640,0,0,0,0,2,1
AT1G63680,0,0,0,0,4,6
AT1G63940,0,0,0,2,0,0
AT1G64040,0,0,0,0,1,1
AT1G64980,0,0,0,0,4,2
AT1G65150,0,0,0,0,3,0
AT1G69200,0,0,0,0,3,5
AT1G69410,0,0,0,0,2,0
AT1G70090,0,0,0,0,0,1
AT1G71040,0,2,0,0,1,1
AT1G71310,0,0,0,0,3,1
AT1G74690,0,1,0,0,2,1
AT1G74850,0,0,0,0,6,5
AT1G75240,0,0,0,0,2,2
AT1G75910,0,2,0,3,6,11
AT1G75930,0,1,0,1,9,15
AT1G75990,0,0,0,0,1,0
AT1G76110,0,0,0,0,1,1
AT1G76350,0,0,0,0,0,1
AT1G76810,0,1,0,0,2,1
AT1G78380,0,1,0,0,3,1
AT1G78650,0,0,0,2,0,0
AT1G79340,0,0,0,0,4,0
AT1G79530,0,0,0,0,2,0
AT1G79920,0,0,0,0,1,0
AT1G80460,0,0,0,0,2,0
AT2G01530,0,0,0,0,2,0
AT2G03150,0,4,0,0,3,3
AT2G03440,0,1,0,0,1,0
AT2G04570,0,0,0,0,0,1
AT2G04690,0,0,0,0,6,1
ATMG01270,0,0,0,0,0,2
AT2G13360,0,0,0,0,3,0
AT2G14120,0,0,0,0,1,0
AT2G14850,0,0,0,1,0,0
AT2G14880,0,0,0,1,0,0
AT2G17420,0,0,0,0,4,1
AT2G18040,0,0,0,2,1,1
AT2G18900,0,0,0,0,4,2
AT2G19570,0,0,0,0,2,0
AT2G20060,0,1,0,0,4,2
AT2G20450,0,1,0,0,1,0
AT2G20490,0,1,0,6,2,1
AT2G20597,0,1,0,2,0,0
AT2G21270,0,0,0,0,1,0
AT2G24270,0,0,0,0,5,0
AT2G24490,0,0,0,0,1,1
AT2G25110,0,0,0,0,1,0
AT2G26080,0,0,0,0,1,2
AT2G28900,0,1,0,0,0,0
AT2G30200,0,0,0,0,1,0
AT2G31320,0,0,0,0,3,9
AT2G32060,0,0,0,0,2,4
AT2G32650,0,0,0,0,2,0
AT2G33620,0,0,0,0,4,3
AT2G34860,0,0,0,3,2,0
AT2G35530,0,0,0,0,9,6
AT2G35840,0,0,0,0,2,0
AT2G36130,0,0,0,2,0,0
AT2G36460,0,1,0,1,4,0
AT3G52990,0,0,0,0,4,0
AT2G36870,0,0,0,0,3,1
AT3G53260,0,0,0,0,5,1
AT2G37270,0,1,0,0,1,0
AT3G53500,0,0,0,0,1,1
AT2G38750,0,0,0,10,0,0
AT2G38760,0,0,0,17,0,0
AT2G39140,0,0,0,0,0,3
AT2G39795,0,0,0,0,1,1
AT2G40030,0,0,0,0,1,0
AT2G40430,0,0,0,1,1,0
AT2G40490,0,0,0,0,1,0
AT2G41475,0,0,0,1,1,0
AT2G41740,0,0,0,0,3,0
AT2G42710,0,0,0,0,0,1
AT2G42910,0,1,0,0,2,0
AT2G43970,0,0,0,0,2,1
AT2G44065,0,1,0,0,1,1
AT2G44350,0,0,0,0,5,3
AT2G44860,0,1,0,0,0,0
AT2G45710,0,1,0,0,0,1
AT2G45820,0,0,0,2,0,0
AT2G45850,0,0,0,0,2,3
AT2G46610,0,0,0,0,2,0
AT2G47250,0,2,0,0,2,1
AT2G47580,0,1,0,0,2,2
AT3G01790,0,1,0,0,1,1
AT3G02760,0,0,0,0,2,0
AT3G03920,0,0,0,1,0,0
AT5G18190,0,2,0,0,0,0
AT3G04260,0,0,0,0,11,16
AT3G04590,0,0,0,0,11,7
AT3G04610,0,0,0,0,3,0
AT3G04980,0,0,0,0,1,1
