Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT5G06290,0,0,0,0,0,0,1,1,0,3,2,1
AT1G08520,0,0,1276100,775380,0,0,1,0,4,5,1,0
AT4G34870,0,0,0,0,0,0,1,0,1,5,1,1
AT4G29270,0,0,3420600,1618700,0,0,1,0,5,3,1,3
AT1G36240,0,0,5860200,4509400,0,0,1,0,2,3,1,0
AT1G23820,0,0,0,0,0,0,1,0,2,3,1,1
AT5G47700,0,0,0,0,0,0,1,0,0,3,1,0
AT5G55070,0,0,0,0,0,0,1,0,3,2,1,2
AT1G04690,0,0,0,0,0,0,1,0,2,2,1,0
AT5G42020,0,0,0,0,0,0,1,0,1,2,1,1
AT3G62030,0,0,0,0,0,0,1,0,0,2,1,0
AT4G37910,0,0,0,0,0,0,1,0,0,1,1,0
AT3G04470,0,0,0,0,0,0,1,0,1,0,1,3
AT4G09000,0,0,0,0,0,0,1,1,0,1,1,2
AT5G08640,0,0,0,0,0,0,1,0,0,2,0,0
AT1G48120,1995700,0,6727500,3708200,8741100,2879900,2,1,11,14,18,7
AT4G24280,3562000,0,7714600,14566000,6427400,3717200,2,1,12,35,17,4
AT1G04410,0,0,14442000,8791700,10630000,10231000,2,0,7,11,16,7
AT1G20020,4982600,0,10808000,7242600,11654000,8539100,2,0,11,10,12,4
AT5G46810,6898000,12991000,12304000,8389800,15458000,13963000,2,3,9,12,12,10
AT1G47128,4823400,0,0,5694800,4245300,4090300,2,0,0,9,10,5
AT3G52930,0,0,4550300,4853500,5281900,0,2,1,4,4,8,3
AT5G24420,0,0,5138700,3438800,3801500,4940400,2,1,6,8,7,13
AT1G20630,9888100,0,0,7914100,21445000,7179100,2,0,2,4,6,1
AT1G14320,7880200,9612100,8285300,5368800,4790500,6823600,2,3,8,9,6,3
AT4G29350,24539000,0,27590000,10949000,20082000,0,2,3,2,3,6,3
AT2G28190,0,0,0,5654600,4588900,9464700,2,0,3,6,5,7
AT3G55280,0,0,0,6573500,6709900,0,2,0,1,5,5,2
AT2G19760,0,20746000,14455000,10831000,13932000,19813000,2,2,4,7,5,3
AT2G27530,14218000,0,7835800,7191700,7290500,10009000,2,0,6,10,4,5
AT5G44340,0,0,8739300,10495000,7305300,6890800,2,0,3,5,4,2
AT3G53020,12157000,0,18830000,19091000,40856000,14255000,2,0,3,4,4,2
AT3G07110,1701400,2293800,1788700,1906100,1403300,1792600,2,1,2,2,3,7
AT5G22580,7546500,0,5467000,10567000,0,15444000,2,0,3,7,2,2
AT5G24770,0,0,19848000,0,7395100,0,2,0,7,4,2,3
AT4G10480,0,0,0,0,0,0,2,0,1,4,2,3
AT5G10360,3420100,0,0,3648900,0,0,2,0,1,2,2,1
AT3G28500,8266600,0,6889300,5560800,6186300,8005600,2,1,4,6,2,4
AT3G53740,0,0,0,0,0,0,2,0,5,3,1,1
AT1G02980,0,0,0,0,0,0,2,0,0,4,0,0
AT3G44300,21292000,39327000,0,9117600,21428000,17485000,3,8,2,10,20,5
AT5G26000,4165500,0,10171000,4478000,10461000,7822900,3,1,16,11,18,6
AT4G14960,7735500,0,13313000,29508000,13340000,8380500,3,0,11,36,17,6
AT2G28790,8359900,10050000,10604000,6870000,8053400,10171000,3,5,7,9,12,13
AT2G24270,4527700,0,3050800,2797700,3599000,4524700,3,0,3,7,9,4
AT4G08390,5089100,0,9261700,8178900,11006000,11247000,3,1,12,7,9,6
AT5G60390,11140000,0,11569000,18677000,10211000,7813400,3,0,8,11,8,2
