Protein,WT,WT,AT1G17770,AT1G177701
AT3G18780,14,17,18,19
AT1G53850,14,13,17,14
AT5G19510,14,14,15,15
AT3G04120,14,13,15,14
AT1G20630,14,8,14,14
AT4G11420,14,14,14,11
AT1G53750,14,11,12,11
AT5G25780,14,10,10,12
AT1G24510,14,11,7,8
AT3G52930,15,17,21,26
AT5G09810,15,14,19,17
AT4G38510,15,14,17,13
AT5G01600,15,17,17,12
AT3G13860,15,13,17,8
AT3G14290,15,12,16,14
AT1G13440,15,13,15,15
AT2G05840,15,14,14,15
AT2G23390,15,13,14,13
AT1G64740,15,12,13,16
AT3G09820,15,12,12,16
AT5G16070,15,12,11,17
AT2G38760,15,12,11,0
AT5G27640,15,12,7,11
AT1G71220,16,15,22,24
AT1G30230,16,15,21,23
AT2G46280,16,16,19,13
AT4G31490,16,18,17,26
AT2G20580,16,14,17,12
AT5G26000,16,15,16,20
AT5G66190,16,14,15,10
AT2G27020,16,13,10,15
AT2G42600,17,17,20,20
AT1G20010,17,17,20,16
AT3G03960,17,16,17,22
AT3G11830,17,13,17,17
AT3G05900,17,16,16,15
AT3G57290,17,15,11,16
AT5G46810,17,12,11,13
AT1G69830,18,16,20,21
AT4G20890,18,15,20,14
AT4G31480,18,17,18,27
AT3G15980,18,14,18,20
AT1G20260,18,16,18,15
AT1G76030,18,16,18,15
AT2G29560,18,18,14,12
AT3G02530,18,13,13,18
