Protein,WT,WT.1,AT5G04940
AT3G18740,0,0,2
AT1G21500,0,0,2
AT5G49650,2,0,2
AT3G52960,2,0,2
AT2G25060,2,0,2
AT2G40290,3,0,2
AT1G64190,3,0,2
AT4G23680,5,0,2
AT3G51800,0,0,0
AT1G70600,0,0,0
AT1G23290,0,0,0
AT5G59850,0,0,0
AT1G12050,0,0,0
AT1G62640,0,0,0
AT2G34480,0,0,0
AT5G17510,0,0,0
AT4G09000,0,4,5
AT1G07770,0,0,0
AT5G19960,0,0,0
AT5G56630,2,0,0
AT1G26880,2,0,0
ATCG00270,0,2,2
AT4G26270,2,0,0
AT1G69620,2,0,0
AT3G55430,2,0,0
AT4G27500,2,0,6
AT3G19980,2,0,6
AT3G02780,0,0,5
AT3G45980,0,0,5
AT1G07790,0,0,4
AT2G19570,2,0,4
AT5G53440,3,0,4
AT2G33410,4,0,4
AT1G24050,0,0,3
AT4G11260,0,0,3
AT2G36580,0,0,3
AT5G22580,0,0,3
AT1G15200,0,0,3
AT4G39330,0,0,3
AT3G16410,0,0,3
AT5G54760,0,0,3
AT1G12780,0,0,3
AT4G11010,0,0,3
AT1G54290,0,0,3
AT5G49020,0,0,3
